time,chla
2018-10-02,0.037127822701336056
2018-10-12,-0.24045410888229657
2018-10-12,-0.24044878129706482
2018-10-22,-0.24686072485361052
2018-10-22,-0.24668083553563158
2018-12-11,0.00815451579283653
2019-01-15,-0.3275601270968883
2019-01-15,-0.3272460117923527
2019-01-25,-0.1773178233454055
2019-02-14,-0.3036668555821065
2019-02-14,-0.3034811689055583
2019-02-19,-0.1250409816899846
2019-02-24,-0.2698196016941443
2019-02-24,-0.27004044184364473
2019-03-16,-0.19130532276602583
2019-03-21,-0.2553107850909904
2019-03-26,-0.22136611798337538
2019-03-31,-0.22441893303220473
2019-03-31,-0.22435962881992916
2019-04-15,-0.2376026677264498
2019-04-15,-0.23726543258548594
2019-04-20,-0.2435098922085604
2019-04-20,-0.24327084983107086
2019-04-30,-0.16444149679688683
2019-04-30,-0.1643884421058966
2019-05-15,-0.1516740632956492
2019-05-30,-0.23929819617785142
2019-06-04,-0.07537858102559053
2019-06-04,-0.07631243482283581
2019-06-19,-0.18123732032472772
2019-06-19,-0.18133046156709828
2019-06-24,-0.2495283039767688
2019-06-29,-0.27650266236599846
2019-06-29,-0.276397481740128
2019-07-04,-0.0017039134879392164
2019-07-09,-0.1384420062103773
2019-07-14,-0.1329673042267162
2019-07-14,-0.13289490905961582
2019-07-19,-0.22634861392736572
2019-07-19,-0.22646756105295832
2019-07-24,-0.15486394974749035
2019-07-24,-0.15476547103166746
2019-08-03,-0.14707990247934433
2019-08-03,-0.14699711305956698
2019-08-08,-0.20565828550574727
2019-08-08,-0.20550310341696115
2019-08-18,-0.23072301415303598
2019-08-18,-0.23070165658352362
2019-09-12,-0.2633937746408236
2019-09-12,-0.26326625445454643
2019-09-17,-0.20634676231015958
2019-09-22,-0.18006444034460367
2019-12-06,-0.23245035442267487
2019-12-06,-0.2325124086867346
2020-01-05,-0.25739892575582846
2020-01-05,-0.2572091217428167
2020-01-15,-0.2786337619089023
2020-01-15,-0.2786332242663798
2020-01-20,-0.23353766276557586
2020-01-20,-0.2339648133484649
2020-02-24,-0.19670595827781628
2020-02-24,-0.19656472500694877
2020-03-15,-0.25402690474554346
2020-03-15,-0.2538533871263282
2020-03-25,-0.18527479445200565
2020-03-25,-0.18490964062148452
2020-04-09,-0.21493221646103422
2020-04-09,-0.21497346943249107
2020-04-14,-0.21744952672476875
2020-04-14,-0.21703096632603303
2020-05-04,-0.24589969603399006
2020-05-04,-0.2458385111803282
2020-05-09,-0.16761826329935925
2020-05-09,-0.16743482812689098
2020-05-19,-0.19690859861674576
2020-05-19,-0.1975042439841254
2020-05-29,-0.17849037136642282
2020-05-29,-0.17835144647369378
2020-06-23,-0.2265436526319428
2020-06-23,-0.22644073512368595
2020-07-08,-0.2803936446996373
2020-07-08,-0.28021795014804557
2020-07-13,-0.2185709189364165
2020-07-18,-0.14760200524626274
2020-07-18,-0.14754476301269195
2020-07-23,-0.22650043863127578
2020-07-23,-0.22589642425146095
2020-07-28,-0.14941628665769396
2020-08-07,-0.2751536706962989
2020-08-07,-0.27500434968662124
2020-08-27,0.08340058723229546
2020-09-16,-0.2346245231279856
2020-09-16,-0.23435098022238499
2020-12-10,0.02193708705695391
2021-02-23,-0.060484131445432625
2021-02-23,-0.0606320003718362
2021-02-28,-0.19694461169317146
2021-03-20,-0.2466673340660881
2021-03-30,-0.2216546463097472
2021-03-30,-0.22178369128792955
2021-04-04,-0.24320417545184192
2021-04-04,-0.24292082606142615
2021-04-14,-0.16773750064767312
2021-04-14,-0.16638562612855268
2021-04-19,-0.202006958330456
2021-04-19,-0.2021771989429714
2021-04-24,-0.23769446630498814
2021-04-24,-0.23751521231341588
2021-05-29,-0.06588671391230758
2021-06-13,-0.23936735186108274
2021-06-13,-0.23767778498792197
2021-06-18,-0.0831768427289094
2021-06-18,-0.0830980344532392
2021-07-18,-0.150603184067337
2021-07-18,-0.1503417985256137
2021-07-23,-0.14185294127118345
2021-08-12,-0.20889552925976243
2021-08-12,-0.20885759663396541
2021-08-27,0.0543582818877448
2021-08-27,0.053327114800760994
2021-09-01,-0.25069420226649797
2021-09-01,-0.2505702803260172
2021-09-06,-0.2955471768810988
2021-09-06,-0.2956346436023244
2021-09-21,-0.044936284162422194
2021-10-01,-0.2578642928119045
2021-10-01,-0.2573447135565551
2021-10-16,-0.2482317186486126
2021-10-16,-0.24817754596538147
2021-10-26,0.05584906869177529
2021-10-31,-0.1451901824605796
2021-11-05,-0.04697112620657758
2022-01-14,0.011840445272619803
2022-01-14,0.012317985304635903
2022-01-19,-0.17706501721146695
2022-01-24,-0.22360472152053323
2022-01-29,-0.06821598189482098
2022-01-29,-0.06814881988782243
2022-02-08,-0.05926930059605567
2022-02-08,-0.05928387244820241
2022-02-13,-0.05403834537144103
2022-02-13,-0.0539972357348386
2022-02-23,-0.05572762778143174
2022-02-23,-0.055475957460939015
2022-02-28,-0.05437386780253966
2022-02-28,-0.05443936699697653
2022-03-05,-0.05298102942426056
2022-03-10,-0.052412088523937715
2022-03-10,-0.05240081769506569
2022-03-20,-0.04365078363835295
2022-03-20,-0.043631355637755324
2022-03-25,-0.04673784893819863
2022-03-25,-0.04676252432735608
2022-04-14,-0.036237073486376836
2022-04-14,-0.036260925300834565
2022-05-14,-0.03985373300180383
2022-06-18,-0.016187515796195533
2022-06-18,-0.0161557686411903
2022-06-23,-0.03101691296424362
2022-06-23,-0.030964070511621394
2022-07-03,-0.04241804452417796
2022-07-03,-0.04242906653613794
2022-07-08,-0.04064410374333582
2022-07-08,-0.040713560557179944
2022-07-13,-0.04462614554309442
2022-07-13,-0.044629031889042145
2022-07-18,-0.04443633652362969
2022-07-18,-0.04447243277531769
2022-07-28,-0.04623039401974288
2022-08-02,-0.024286821267487445
2022-08-02,-0.024220312872876036
2022-08-12,-0.04875903738034888
2022-08-12,-0.048828184743656015
2022-08-22,-0.048032928033815314
2022-08-22,-0.04803993743277786
2022-08-27,-0.052613935844856456
2022-09-01,-0.025962481042420077
2022-09-11,-0.04589062123379435
2022-09-11,-0.04578342466581635
2022-09-21,-0.046310775103044585
2022-09-21,-0.04633492708286571
2022-10-06,-0.04213839432094767
2022-10-06,-0.0421750845492902
2022-10-16,-0.05428749836873599
2022-10-26,-0.054298261122242744
2022-10-26,-0.05434123186108874
2022-11-10,-0.04577189514805726
2022-11-10,-0.04684935837924943
2022-11-20,-0.06591384029138506
2023-01-19,0.02088250725750357
2023-02-03,-0.045787392872586624
2023-02-13,-0.06550585666599652
2023-02-13,-0.0655726766841219
2023-03-05,-0.056600166316906494
2023-03-05,-0.05663259543416922
2023-04-04,-0.04607185661390782
2023-04-09,-0.04475523845717341
2023-04-09,-0.04477765830570024
2023-04-19,-0.05197534032237063
2023-05-29,-0.03185777600159197
2023-05-29,-0.03182599132390712
2023-06-23,-0.046363402457264315
2023-06-28,-0.031549183336916344
2023-06-28,-0.03149649021576949
2023-07-08,0.0003991729797314993
2023-07-08,-0.0003503402622121093
2023-08-02,-0.053594434126446905
2023-08-02,-0.05358306743560386
2023-08-22,-0.042283048529616785
2023-08-22,-0.041253481051579576
2023-09-01,-0.05098335807926297
2023-09-01,-0.051027463207575036
2023-09-06,-0.05673462817489081
2023-09-06,-0.05674803898617187
2023-09-26,-0.04574856353918863
2023-09-26,-0.04567871431164972
2023-10-01,-0.04201367595743111
2023-10-01,-0.041927472906431756
2023-10-11,-0.05068441593411312
2023-10-11,-0.050722420419924426
2023-12-15,-0.07227209244797739
2023-12-15,-0.07239355521811469
2023-12-25,-0.0753301306336469
2023-12-25,-0.07523731309396496
